시도명,시군구명,시설구분,시설명,상세주소,시설면적,주거능력,관리부서,지자체담당자연락처,경도,위도
충청남도,당진시,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",정미주민다목적회관,충청남도 당진시 정미면 4.4만세로 713-14 ,842,255,,,126.56836484,36.88731026
충청남도,당진시,학교,천의초등학교 강당,충청남도 당진시 정미면 천평로 30,644,247,이재원,041-350-3642,126.5719662,36.87798455
충청남도,당진시,마을회관,도이1리 마을회관,충청남도 당진시 대호지면 충장로 566-4 ,165,63,이재원,041-350-3642,126.53096845,36.92135458
충청남도,당진시,마을회관,초락2리 마을회관,충청남도 당진시 석문면 초락1로 131,199,60,,,126.50364256,36.99199512
충청남도,당진시,학교,조금초등학교 체육관,충청남도 당진시 대호지면 4.4만세로 23,1038,399,이재원,041-350-3642,126.499669,36.901392
충청남도,당진시,"연수,숙박",민간숙박시설,충청남도 당진시 석문면 난지2길 90-36 ,6,12,,,126.45328618,37.03898244
충청남도,당진시,"연수,숙박",민간숙박시설,충청남도 당진시 석문면 난지1길 329,7,14,,,126.44649394,37.05226081
충청남도,당진시,기타시설,석문교육문화스포츠센터,충청남도 당진시 석문면 대호만로 1543,3600,1384,당진시장,041-350-3642,126.55347563,37.00298034
충청남도,당진시,마을회관,교로2리 마을회관,충청남도 당진시 석문면 새터말길 10,245,74,,,126.5282283,37.03701491
충청남도,당진시,"연수,숙박",민간숙박시설,충청남도 당진시 석문면 석문해안로 19-6 ,7,14,,,126.52854654,37.04155102
충청남도,공주시,학교,반포중학교,충청남도 공주시 반포면 원당1길 28,1686,648,심경화,041-857-3150,127.24302396,36.40411323
충청남도,당진시,학교,삼봉초등학교 체육관,충청남도 당진시 석문면 대호만로 1722-1 ,710,273,이재원,041-350-3642,126.53941423,37.01341966
충청남도,당진시,마을회관,삼봉4리 마을회관,충청남도 당진시 석문면 대호만로 1736-7 ,306,93,,,126.53745595,37.0134539
전라남도,완도군,경로당,중리 경로당,전라남도 완도군 군외면 군외중리1길 31,104,40,권혁,061-550-6341,126.65933969,34.39159961
전라남도,완도군,학교,군외초등학교,전라남도 완도군 군외면 달도길 15-14 ,2107,810,김광일,061-552-5473,126.63691371,34.39797473
전라남도,완도군,경로당,달도 염수리경로당,전라남도 완도군 군외면 염수길 64,100,38,권혁,061-550-6341,126.62516569,34.39971984
전라남도,완도군,경로당,토도리 경로당,전라남도 완도군 군외면 토도길 16-2 ,68,26,권혁,061-550-6341,126.68711602,34.4214627
전라남도,완도군,경로당,교인리 경로당,전라남도 완도군 군외면 청해진북로338번길 3,62,23,황혜숙,061-550-6341,126.67491737,34.38517834
대구광역시,달성군,관공서,구지 보건지소,대구광역시 달성군 구지면 창리로11길 38,564,216,김종일,053-668-3418,128.41347642,35.6589958
서울특별시,성북구,학교,숭덕초등학교,서울특별시 성북구 정릉로 279(정릉동),8313,3197,김만기,02-914-1764,127.01339388,37.6039664
전라남도,진도군,학교,군내중학교 체육관,전라남도 진도군 군내면 금골길 26,879,338,추승완,010-8251-3020,126.2959474,34.5386087
서울특별시,성북구,학교,동신초등학교,서울특별시 성북구 보문사길 50(보문동3가),3370,1296,황인탁,02-925-3442,127.01696208,37.58258162
서울특별시,성북구,학교,청덕초등학교,서울특별시 성북구 정릉로9라길 11(정릉동),14436,5552,박동길,02-924-3409,127.00046026,37.61189643
서울특별시,성북구,학교,삼선초등학교,서울특별시 성북구 보문로29길 106(삼선동3가),4967,1910,정인아,02-742-8792,127.01258136,37.58576597
서울특별시,성북구,관공서,성북구청,서울특별시 성북구 보문로 168(삼선동5가),587,226,김하림,02-2241-4304,127.01688087,37.58945632
서울특별시,성북구,학교,안암초등학교,서울특별시 성북구 고려대로7가길 39(안암동2가),1021,393,정현주,02-928-4403,127.02267096,37.58722701
서울특별시,성북구,학교,정덕초등학교,서울특별시 성북구 아리랑로 63(동소문동7가),11005,4233,송진이,02-926-2367,127.01361967,37.59738949
서울특별시,성북구,학교,경동고등학교,서울특별시 성북구 보문로29길 49(삼선동3가),8411,3235,엄현경,02-928-2077,127.01496957,37.58574448
강원도,영월군,교회,영월대교회,강원도 영월군 영월읍 중앙1로 35,215,82,주영준,033-373-4009,128.46550162,37.18445077
서울특별시,성북구,학교,돈암초등학교,서울특별시 성북구 동소문로13길 38(동소문동6가),10946,4210,양재훈,02-926-2367,127.01285119,37.5933177
강원도,영월군,마을회관,영흥1리마을회관,강원도 영월군 영월읍 영모전길 131,66,25,손경철,010-8276-4041,128.47122132,37.18611754
강원도,영월군,학교,영월초등학교,강원도 영월군 영월읍 하송안길 100,1644,632,고창원,033-370-3005,128.46877899,37.18202065
강원도,영월군,학교,한국소방마이스터고,강원도 영월군 영월읍 영모전길 108,1051,404,이대은,033-370-2535,128.47223725,37.18926602
강원도,영월군,학교,내성초등학교,강원도 영월군 영월읍 내성안길 9,905,348,사공진,033-373-0662,128.47462101,37.19001172
강원도,영월군,학교,영월중·고교,강원도 영월군 영월읍 오무개길 51,1367,525,이근우,033-370-5005,128.47189631,37.19110958
강원도,횡성군,학교,강림초등학교,강원도 횡성군 강림면 태종로강림4길 11,292,88,이소라,033-342-7071,128.12010369,37.35823529
강원도,횡성군,학교,강림중학교,강원도 횡성군 강림면 주천강로 1145,496,150,문태인,033-342-7042,128.12670458,37.36416186
강원도,횡성군,학교,유현초등학교 ,강원도 횡성군 서원면 경강로 711,57,17,임애숙,033-342-0349,127.87514389,37.52657656
서울특별시,성북구,학교,석관고등학교,서울특별시 성북구 한천로70길 30(석관동),1557,599,최현선,02-958-1000,127.06656966,37.60922836
서울특별시,성북구,학교,석관중학교,서울특별시 성북구 한천로 526(석관동),2176,837,이수영,02-962-2275,127.0668317,37.60819593
서울특별시,성북구,학교,석계초등학교,서울특별시 성북구 한천로58길 273(석관동),10236,3937,김순강,02-964-9579,127.06976526,37.608609
서울특별시,성북구,학교,장위중학교,서울특별시 성북구 장위로4길 70(장위동),1983,763,박상선,02-941-1675,127.04158798,37.6113885
서울특별시,성북구,관공서,장위1동주민센터,서울특별시 성북구 장위로 61(장위동),200,77,장위1동주민센터장,02-2241-3227,127.04366287,37.61408291
서울특별시,성북구,학교,장위초등학교,서울특별시 성북구 장월로8가길 41(장위동),19666,7564,김상홍,02-915-4325,127.04982742,37.61210321
서울특별시,성북구,학교,광운초등학교,서울특별시 성북구 한천로 694(장위동),4551,1750,박상옥,02-915-7313,127.0552728,37.61890892
서울특별시,성북구,학교,월곡초등학교,서울특별시 성북구 장월로3길 42(장위동),1419,546,김광옥,02-915-2787,127.04639392,37.60964029
서울특별시,성북구,학교,서울도시과학기술고등학교,서울특별시 성북구 종암로 196(하월곡동),8344,3209,조은중,02-940-2680,127.03189005,37.60732775
서울특별시,성북구,교회,영광교회,서울특별시 성북구 오패산로10길 27(하월곡동),330,127,영광교회,02-916-5004,127.03831268,37.6056354
서울특별시,성북구,교회,월곡감리교회,서울특별시 성북구 화랑로9길 13(하월곡동),132,51,월곡감리교회,02-941-6671,127.04039117,37.60282833
서울특별시,성북구,학교,종암중학교,서울특별시 성북구 종암로5길 80-17 (종암동),1356,522,유의현,02-6749-2032,127.03226624,37.59284562
서울특별시,성북구,학교,숭인초등학교,서울특별시 성북구 오패산로16길 37(하월곡동),12685,4879,이연미,070-7126-8096,127.03840625,37.60893585
서울특별시,성북구,학교,숭곡중학교,서울특별시 성북구 종암로 208(하월곡동),11369,4373,안재영,070-4323-5929,127.03113297,37.60794741
서울특별시,성북구,학교,길음중학교,서울특별시 성북구 길음로 144(길음동),6373,2451,정일수,02-910-8677,127.01709104,37.61442024
서울특별시,성북구,기타시설,길음종합사회복지관,서울특별시 성북구 삼양로8가길 32(길음동),1756,675,장영철,02-985--0161,127.02474624,37.60882475
서울특별시,성북구,학교,숭례초등학교,서울특별시 성북구 종암로5길 14(종암동),680,262,성미경,02-927-5612,127.03493577,37.59491189
서울특별시,강북구,학교,수송초등학교,서울특별시 강북구 한천로124길 14(번동),1344,516,,,127.0333923,37.63721649
서울특별시,성북구,교회,정릉교회,서울특별시 성북구 정릉로 280(정릉동),100,38,정릉교회,02-914-8914,127.01421944,37.60303003
서울특별시,성북구,학교,길음초등학교,서울특별시 성북구 길음로 142(길음동),12533,4820,김종윤,02-918-9984,127.01767246,37.61403616
서울특별시,강북구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",강북구 보훈회관,서울특별시 강북구 오패산로 290-1 (미아동),294,113,,,127.02964047,37.62661428
서울특별시,강북구,학교,수송초등학교,서울특별시 강북구 한천로124길 14(번동),11126,4279,,,127.03326351,37.63735837
서울특별시,강북구,학교,삼양초등학교,서울특별시 강북구 삼양로49길 17(미아동),7661,2947,,,127.01657752,37.62359425
서울특별시,강북구,학교,삼양초등학교,서울특별시 강북구 삼양로49길 17(미아동),4636,1783,,,127.01699956,37.6235858
서울특별시,강북구,학교,성암국제무역고등학교,서울특별시 강북구 도봉로29길 52(미아동),288,110,,,127.02473261,37.62098095
서울특별시,강북구,학교,송중초등학교,서울특별시 강북구 오현로 9(미아동),457,175,,,127.03095788,37.6171559
서울특별시,강북구,학교,삼각산초등학교,서울특별시 강북구 삼양로19길 141(미아동),751,289,,,127.01488092,37.61604207
서울특별시,강북구,학교,창문여자중학교,서울특별시 강북구 월계로 61(미아동),2231,858,,,127.03647513,37.6130504
서울특별시,강북구,학교,송천초등학교,서울특별시 강북구 삼양로20길 29(미아동),2816,1083,,,127.02332359,37.6159297
서울특별시,강북구,학교,삼각산중학교,서울특별시 강북구 삼양로19길 141(미아동),945,363,,,127.01484949,37.61596563
서울특별시,강북구,학교,화계초등학교,서울특별시 강북구 솔매로50가길 25(미아동),8994,3459,,,127.02936374,37.62389115
서울특별시,강북구,학교,창문여자고등학교,서울특별시 강북구 월계로 61(미아동),664,255,,,127.03724947,37.61289779
서울특별시,강북구,학교,송중초등학교,서울특별시 강북구 오현로 9(미아동),752,289,,,127.031357,37.61672012
경상남도,양산시,학교,양산여자고등학교,경상남도 양산시 회현1길 36(교동),787,303,배선웅,055-384-2415,129.02560148,35.34473898
경상남도,양산시,경로당,회현마을경로당,경상남도 양산시 교동1길 58(교동),39,15,김순자,011-9301-9287,129.02324801,35.34733625
경상남도,양산시,학교,증산초등학교,경상남도 양산시 물금읍 새실1길 50,13002,5000,,,129.00762233,35.3160428
경상남도,양산시,학교,범어고등학교,경상남도 양산시 물금읍 신주로 88,743,100,,,129.01874748,35.32985765
경상남도,양산시,학교,영천초등학교,경상남도 양산시 동면 영천4길 6,198,76,진경호,055-383-0130,129.11065547,35.31170843
경상남도,김해시,학교,신어중학교,경상남도 김해시 삼안로195번길 7(삼방동),1719,661,박종주,055-330-3283,128.91143366,35.24487328
경상남도,김해시,"연수,숙박",굿모닝모텔,경상남도 김해시 활천로267번길 3-1 (삼방동),1021,116,이경애,010-3680-3239,128.90827101,35.24326832
경상남도,의령군,학교,가례초등학교,경상남도 의령군 가례면 가례로 128,1920,581,이서연,055-573-2718,128.24682379,35.33310994
경상남도,김해시,"연수,숙박",투헤븐호텔,경상남도 김해시 장유로334번길 8(신문동),1021,128,장병옥,010-3389-1577,128.81567766,35.19657291
경상남도,김해시,학교,삼문초등학교,경상남도 김해시 번화2로 104(삼문동),330,126,박종주,055-330-3283,128.80307516,35.19798354
경상남도,김해시,학교,계동초등학교,경상남도 김해시 계동로 96(대청동),2894,1113,박종주,055-330-3283,128.79564916,35.18502281
경상남도,김해시,마을회관,장재마을회관,경상남도 김해시 한림면 장재로 191,115,44,박종주,055-330-3283,128.816455,35.32274354
경상남도,김해시,학교,한림중학교,경상남도 김해시 한림면 한림로365번길 33,987,379,박종주,055-330-3283,128.79954622,35.32115313
경상남도,김해시,기타시설,불암동체육관,경상남도 김해시 삼안로 36-19 (지내동),1525,586,박종주,055-330-3283,128.91868075,35.23267896
경상남도,김해시,마을회관,장원마을회관,경상남도 김해시 한림면 명동로123번길 24-3 ,115,44,박종주,055-330-3283,128.81811152,35.30573008
경상남도,김해시,경로당,가영경로당,경상남도 김해시 한림면 용덕로236번길 13,98,37,박종주,055-330-3283,128.83095102,35.29765986
경상남도,김해시,관공서,대동면행정복지센터,경상남도 김해시 대동면 대동로 610,194,74,박종주,055-330-3283,128.98050489,35.2423107
경상남도,김해시,학교,대감초등학교,경상남도 김해시 대동면 대동로 993,726,279,박종주,055-330-3283,128.98172281,35.27363562
경상남도,밀양시,학교,밀양여자고등학교,경상남도 밀양시 내일중앙길 10(내일동),1423,547,밀양여자고등학교장,055-354-2106,128.75592263,35.49521159
경상남도,의령군,학교,지정초등학교,경상남도 의령군 지정면 함의로4길 5,2233,676,정복심,055-572-5411,128.38762972,35.38322331
경상남도,의령군,관공서,지정면사무소,경상남도 의령군 지정면 함의로5길 8,775,190,노환,055-570-4660,128.38594379,35.38242458
경상남도,고성군,기타시설,고성실내체육관,경상남도 고성군 고성읍 송학고분로 179,1269,488,체육시설팀,055-670-5846,128.31048631,34.97866005
경상남도,남해군,마을회관,감암마을회관,경상남도 남해군 설천면 노량로 94,253,97,지현호,010-3869-9036,127.86643802,34.93757948
경상남도,하동군,학교,하동중앙중학교,경상남도 하동군 하동읍 연화길 77,1595,613,,,127.74964629,35.0766373
경상남도,하동군,마을회관,동교마을회관,경상남도 하동군 하동읍 동교1길 11-2 ,69,26,허영일,055-884-3144,127.74509628,35.06963803
경상남도,하동군,학교,옥종중학교,경상남도 하동군 옥종면 옥종중앙길 35,1717,660,정왕근,055-882-8024,127.879471,35.179509
경상남도,하동군,"연수,숙박",모텔엘도라도,경상남도 하동군 금남면 경충로 178-18 ,613,68,,,127.88443194,34.95806838
경상남도,하동군,학교,노량초등학교,경상남도 하동군 금남면 제먼당길 60,952,366,유무철,055-882-0041,127.856671,34.952097
경상남도,산청군,마을회관,양촌마을회관,경상남도 산청군 오부면 산수로541번길 83,177,68,마을이장,010-9695-9979,127.86051112,35.45825016
경상남도,산청군,학교,오부초등학교,경상남도 산청군 오부면 오동로 649,668,256,학교장,055-973-8246,127.88669047,35.49944285
경상남도,산청군,마을회관,중촌마을회관,경상남도 산청군 오부면 오동로705번길 67,76,29,마을이장,010-6313-4270,127.89467932,35.50693685
서울특별시,송파구,학교,서울방이초등학교,서울특별시 송파구 위례성대로10길 4(방이동),8198,3153,방이1동장,,127.12081416,37.51303612
서울특별시,송파구,학교,방산고등학교,서울특별시 송파구 오금로27길 18(방이동),8849,3403,방이1동장,,127.1205548,37.50844733
서울특별시,송파구,학교,방이중학교,서울특별시 송파구 오금로11길 64(방이동),12195,4690,,,127.11330058,37.5146942
서울특별시,강동구,학교,둔촌중학교,서울특별시 강동구 진황도로61길 25-30 (둔촌동),1225,471,학교장,,127.14620623,37.53033608
서울특별시,강동구,관공서,강동 어린이 회관,서울특별시 강동구 성내로6길 16(성내동),470,180,관장,,127.12242072,37.52938774
서울특별시,강동구,교회,성내동교회,서울특별시 강동구 풍성로35길 53(성내동),548,210,,,127.12530535,37.5341116
서울특별시,강동구,교회,서울제일교회,서울특별시 강동구 강동대로53길 53(성내동),331,127,김진관집사,010-8717-3654,127.13217362,37.52527745
서울특별시,강동구,학교,성내초등학교,서울특별시 강동구 성내로3길 19(성내동),180,69,학교장,,127.12245578,37.53135774
서울특별시,강동구,관공서,성내1동 주민센터,서울특별시 강동구 성내로 13(성내동),184,70,동장,,127.12219489,37.53052858
경기도,이천시,학교,율면고등학교,경기도 이천시 율면 고당로 48,528,203,안혜숙,031-641-0664,127.54302496,37.08848891
전라남도,장성군,교회,약수교회,전라남도 장성군 북하면 약수2길 15,214,82,권병진,061-392-7469,126.87978071,35.40595521
전라남도,장성군,"연수,숙박",백양관광호텔,전라남도 장성군 북하면 백양로 941,1950,150,김광호,010-7535-4660,126.88136058,35.41107698
전라남도,강진군,학교,성전초등학교 다목적강당,전라남도 강진군 성전면 예향로 17,810,311,홍성식,010-3643-4589,126.70740979,34.69342661
전라남도,해남군,마을회관,남천리마을회관,전라남도 해남군 해남읍 남천길 38,159,61,남천리이장 민삼홍,010-3631-7521,126.5679927,34.5599346
전라남도,해남군,학교,해남고등학교창의예술동,전라남도 해남군 해남읍 명문길 7,330,127,배상훈,010-9602-7809,126.594735,34.577075
전라남도,해남군,학교,해남고등학교본관동,전라남도 해남군 해남읍 명문길 7,823,317,배상훈,010-9602-7809,126.595738,34.577145
경상북도,김천시,학교,문성중학교,경상북도 김천시 영남대로 1992-3 (지좌동),1414,543,백정흠,054-421-2432,128.14630104,36.11813407
경상북도,김천시,학교,김천동부초등학교,경상북도 김천시 황산로 83-15 (지좌동),1046,402,백정흠,054-421-2432,128.13847726,36.11860743
경상북도,김천시,경로당,마잠경로당,경상북도 김천시 마잠길 62(지좌동),139,53,박무근,054-421-2434,128.14494615,36.12243528
경상북도,김천시,경로당,부곡할머니경로당,경상북도 김천시 가메실4길 44-1 (부곡동),125,47,윤채봉,054-421-2402,128.10356388,36.12241913
경상북도,김천시,경로당,중앙경로당,경상북도 김천시 부곡중앙3길 11(부곡동),150,57,윤채봉,054-421-2402,128.10275645,36.12520992
경상북도,김천시,경로당,서부경로당,경상북도 김천시 강각골1길 3-4 (부곡동),166,63,윤채봉,054-421-2402,128.1077248,36.12214393
경상북도,김천시,경로당,문지왈경로당,경상북도 김천시 문지왈4길 43-3 (부곡동),75,28,윤채봉,054-421-2402,128.08997099,36.12081714
경기도,수원시,학교,수일초등학교,경기도 수원시 장안구 수일로 85(파장동),799,307,장영란,031-242-5932,127.00077354,37.31070444
경기도,수원시,학교,장안고등학교,경기도 수원시 장안구 대평로52번길 12(정자동),630,242,신희정,031-250-2901,126.99566502,37.29288241
전라남도,고흥군,마을회관,계매마을회관,전라남도 고흥군 동강면 고흥로 4153-5 ,100,38,곽유선,011-621-8580,127.33545548,34.77074434
전라남도,고흥군,마을회관,덕암마을회관,전라남도 고흥군 동강면 덕암상촌길 10,100,38,정강정,011-621-2407,127.32481619,34.77556069
전라남도,고흥군,경로당,원유둔여경로당,전라남도 고흥군 동강면 원유둔1길 24-18 ,54,20,,061-833-2372,127.33413559,34.7811042
전라남도,고흥군,학교,남양중학교,전라남도 고흥군 남양면 남양로 219-6 ,3502,1346,김종현,061-833-1083,127.35675118,34.73622868
전라남도,고흥군,학교,남양초우도분교,전라남도 고흥군 남양면 우도길 18,120,46,,,127.31432602,34.72229424
전라남도,고흥군,학교,동강중학교,전라남도 고흥군 동강면 계매길 11-2 ,1750,673,임창주,010-2586-3581,127.33663299,34.77138879
전라남도,고흥군,마을회관,내대마을회관,전라남도 고흥군 동강면 내대호수길 159,100,38,이충형,011-9625-1065,127.36943223,34.79876714
전라남도,고흥군,마을회관,원매곡마을회관,전라남도 고흥군 동강면 원매곡길 38,100,38,송기상,011-806-2416,127.33717284,34.80404675
전라남도,고흥군,마을회관,사동마을회관,전라남도 고흥군 동강면 대강사동길 18,100,38,송홍래,010-3644-4430,127.32615258,34.78869829
전라남도,고흥군,기타시설,두남정,전라남도 고흥군 동강면 두산길 10-1 ,87,33,,010-9606-2268,127.32628024,34.78592701
전라남도,고흥군,마을회관,평촌마을회관,전라남도 고흥군 동강면 대강평촌길 6,100,38,최사연,011-640-2003,127.32611804,34.7819573
전라남도,고흥군,마을회관,죽산마을회관,전라남도 고흥군 동강면 서민호길 85,96,36,박기태,010-3636-9524,127.34074989,34.77630436
전라남도,고흥군,마을회관,병동마을회관,전라남도 고흥군 동강면 병풍1길 11,100,38,배재호,010-3484-2067,127.34406684,34.7866028
전라남도,고흥군,경로당,죽산여경로당,전라남도 고흥군 동강면 서민호길 73-3 ,95,36,,061-833-2896,127.33928452,34.77685329
전라남도,고흥군,마을회관,죽동마을회관,전라남도 고흥군 동강면 죽암안길 87-2 ,85,32,김정환,010-3625-2963,127.38750484,34.78629069
전라남도,고흥군,마을회관,옹암마을회관,전라남도 고흥군 동강면 죽암안길 65,85,32,권종갑,010-6329-2711,127.38736287,34.78463412
전라남도,고흥군,마을회관,장동마을회관,전라남도 고흥군 동강면 동강장동길 74,100,38,송기원,011-614-0465,127.35040188,34.80551219
전라남도,고흥군,마을회관,신기마을회관,전라남도 고흥군 대서면 동서로 923,1278,491,송점식,010-2249-8140,127.26474549,34.7410522
전라남도,고흥군,마을회관,안동마을회관,전라남도 고흥군 대서면 기러기길 1,438,168,송형두,010-4644-0079,127.27808666,34.75140468
전라남도,고흥군,마을회관,온동마을회관,전라남도 고흥군 대서면 온동길 104,468,180,이차근,010-9380-3017,127.32787913,34.77089081
전라남도,고흥군,마을회관,동편마을회관,전라남도 고흥군 대서면 동편길 46,264,101,송태호,011-621-3557,127.30775652,34.76940136
전라남도,고흥군,마을회관,금곡마을회관,전라남도 고흥군 대서면 금곡길 103,443,170,송송석,011-3626-2470,127.32228735,34.76958138
전라남도,고흥군,마을회관,송림마을회관,전라남도 고흥군 대서면 송림로 380,465,178,임종율,010-9898-3417,127.28283233,34.73772291
전라남도,고흥군,마을회관,하남마을회관,전라남도 고흥군 대서면 하남길 10-5 ,980,376,박동주,010-4607-3533,127.30354628,34.75899285
전라남도,고흥군,교회,대서교회,전라남도 고흥군 대서면 석장2길 28,491,188,,061-834-0691,127.28501949,34.76865608
전라남도,고흥군,기타시설,팔영농협대서지점,전라남도 고흥군 대서면 석장2길 17,169,65,,,127.28431983,34.76989446
전라남도,고흥군,마을회관,장사마을회관,전라남도 고흥군 대서면 솔로골큰길 39-1 ,272,104,김영환,010-4022-3409,127.28657595,34.73616455
전라남도,고흥군,마을회관,대덕마을회관,전라남도 고흥군 두원면 대덕길 67,85,32,신상호,010-3603-2019,127.2534254,34.67770584
전라남도,고흥군,마을회관,신흥마을회관,전라남도 고흥군 두원면 금산신흥길 214-2 ,114,43,김영식,010-6340-5384,127.24562399,34.68957216
전라남도,고흥군,마을회관,구룡마을회관,전라남도 고흥군 두원면 두원구룡길 46,88,33,김윤수,,127.25791835,34.69175207
전라남도,고흥군,마을회관,예동마을회관,전라남도 고흥군 두원면 예골길 12,88,33,김태길,010-4282-7787,127.24372815,34.65944771
전라남도,고흥군,마을회관,월하마을회관,전라남도 고흥군 두원면 월하길 10,148,56,김동준,010-4618-5181,127.23960781,34.67478545
전라남도,고흥군,마을회관,풍류마을회관,전라남도 고흥군 두원면 풍류2길 51,125,48,송택회,010-8613-7166,127.23458354,34.66203568
전라남도,고흥군,관공서,두원치안센터,전라남도 고흥군 두원면 두원로 456,70,26,,,127.27543544,34.64476614
전라남도,고흥군,관공서,두원면사무소,전라남도 고흥군 두원면 두원로 480-1 ,440,169,,,127.27427213,34.64650764
전라남도,고흥군,교회,두원교회,전라남도 고흥군 두원면 용산신송길 168,180,69,,,127.27572438,34.64492953
전라남도,고흥군,마을회관,금계마을회관,전라남도 고흥군 두원면 금계길 47,108,41,이상균,010-4662-4102,127.27551362,34.64982931
전라남도,고흥군,마을회관,대산마을회관,전라남도 고흥군 두원면 대산길 45,113,43,신 경우,010-4103-4848,127.28644775,34.6510605
전라남도,고흥군,마을회관,신월마을회관,전라남도 고흥군 두원면 새신월길 35,85,32,전일찬,010-8637-4142,127.28722539,34.65914365
전라남도,고흥군,마을회관,영동마을회관,전라남도 고흥군 두원면 영동길 67,92,35,송정윤,010-4616-4406,127.26750172,34.6684474
전라남도,고흥군,마을회관,오수마을회관,전라남도 고흥군 두원면 오수안길 87,100,38,류복래,010-3666-2018,127.2705609,34.66535121
전라남도,고흥군,마을회관,진목마을회관,전라남도 고흥군 두원면 차수진목길 90,92,35,이승우,010-4912-2212,127.2665898,34.68464681
전라남도,고흥군,마을회관,차수마을회관,전라남도 고흥군 두원면 차수진목길 40,86,33,정병채,010-5006-1053,127.26489529,34.68001992
전라남도,고흥군,마을회관,서신마을회관,전라남도 고흥군 두원면 서신길 60-2 ,82,31,김귀근,010-7344-2171,127.28229361,34.6431736
전라남도,고흥군,마을회관,외신마을회관,전라남도 고흥군 두원면 외신길 7,86,33,류계현,010-4627-8722,127.27969769,34.64694411
전라남도,고흥군,기타시설,두원복지관,전라남도 고흥군 두원면 두원로 482,180,69,,,127.27377941,34.6465629
전라남도,고흥군,기타시설,정다운어린이집,전라남도 고흥군 두원면 두원로 458,300,115,,,127.27536956,34.64484653
전라남도,고흥군,마을회관,사포마을회관,전라남도 고흥군 영남면 사포희망길 18-4 ,99,38,정경규,010-3635-5261,127.45258221,34.6035977
전라남도,고흥군,마을회관,양화마을여경로당,전라남도 고흥군 영남면 해맞이로 165,84,32,이길호,010-2622-0039,127.46160644,34.59132909
