업체명,품목명,주소,대표전화번호,시도명,시군구명,경도,위도
이마트 신월점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 화곡로 59,02-6716-1240,서울특별시,양천구,126.8285152,37.53975584
경서농협하나로마트 신정점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 양천구 신월로 313,02-2696-8012,서울특별시,양천구,126.8556546,37.5218724
이마트가양점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 양천로 559,02-2101-1053,서울특별시,강서구,126.8618176,37.55819481
홈플러스 강서점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 화곡로 398,02-2660-8000,서울특별시,강서구,126.854819,37.55846996
강서농업협동조합,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 강서구 금낭화로 127,02-2669-6153,서울특별시,강서구,126.8121967,37.57679087
롯데마트구로점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 경인로482,02-2639-2521,서울특별시,구로구,126.8727311,37.49828789
이마트구로점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 디지털로32길43,02-2009-1051,서울특별시,구로구,126.8978858,37.48439923
홈플러스신도림점,"생수, 쌀 등 식품류, 생활용품 ",서울특별시 구로구 경인로661,02-2618-2080,서울특별시,구로구,126.8869873,37.50904922
홈플러스,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로 201,02-895-2080,서울특별시,금천구,126.9007948,37.45190478
하모니마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 가산로 116,02-853-9933,서울특별시,금천구,126.8931448,37.47610711
빅마켓,"쌀, 부탄가스, 세제류",서울특별시 금천구 두산로71,02-809-2500,서울특별시,금천구,126.8956736,37.47062285
홈플러스,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로391,02-890-8000,서울특별시,금천구,126.8968853,37.46866385
가락공판장 해나온식자재마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로204,02-808-5100,서울특별시,금천구,126.9026589,37.46528663
그랜드마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로142길 23,02-851-2351,서울특별시,금천구,126.9005592,37.47331576
제일소비자유통,"쌀, 부탄가스, 세제류",서울특별시 금천구 남부순환로126길 15,02-858-5838,서울특별시,금천구,126.9060211,37.47946926
농심할인마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로74길 14,02-864-9291,서울특별시,금천구,126.9031224,37.46860597
소비자유통,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로62길 60,02-892-5533,서울특별시,금천구,126.9028482,37.45689782
금천식자재마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 금하로 763,02-893-3650,서울특별시,금천구,126.9145883,37.45034526
고려할인마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 시흥대로18길16,02-809-8286,서울특별시,금천구,126.9044004,37.44009392
아울렛마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 독산로40길29,02-893-4545,서울특별시,금천구,126.9062465,37.46068184
은행나무마트,"쌀, 부탄가스, 세제류",서울특별시 금천구 금하로 705,02-891-4666,서울특별시,금천구,126.9083613,37.45157084
홈플러스영등포점,"쌀, 부탄가스, 세제류",서울특별시 영등포구 당산로 42,02-2165-8112,서울특별시,영등포구,126.8958802,37.5182397
이마트영등포점,"쌀, 부탄가스, 세제류",서울특별시 영등포구 영중로 15,02-3468-1050,서울특별시,영등포구,126.903716,37.51723326
바다마트,생필품,서울특별시 동작구 만양로 84,02-813-6114,서울특별시,동작구,126.9452257,37.51136715
진로마트,생필품,서울특별시 동작구 장승배기로 113,02-817-0091,서울특별시,동작구,126.9393373,37.50794784
동남할인마트,생필품,서울특별시 동작구 상도로37길 54,02-814-2811,서울특별시,동작구,126.9516394,37.49925584
웰빙마트,생필품,서울특별시 동작구 상도로 340,02-823-9822,서울특별시,동작구,126.9518469,37.49785927
이마트 에브리데이 상도점,생필품,서울특별시 동작구 상도로31길 19,02-823-3651,서울특별시,동작구,126.9445418,37.50623587
성대마트,생필품,서울특별시 동작구 상도로 102,02-825-0400,서울특별시,동작구,126.9317763,37.4999427
삼원마트,생필품,서울특별시 동작구 상도로22길 37,02-822-2934,서울특별시,동작구,126.9374299,37.50163179
고마트,생필품,서울특별시 동작구 양녕로26나길 8,02-821-8305,서울특별시,동작구,126.9445589,37.49736485
하나로마트 흑석점,생필품,서울특별시 동작구 서달로 150,02-813-7013,서울특별시,동작구,126.9621838,37.50662658
이마트,생필품,서울특별시 동작구 사당로300 B1,02-595-1234,서울특별시,동작구,126.9802816,37.48437909
왕창할인마트,생필품,서울특별시 동작구 동작대로29길 63-6,02-533-2842,서울특별시,동작구,126.978344,37.48834977
코사마트,생필품,서울특별시 동작구 사당로13길 86,02-596-3710,서울특별시,동작구,126.970501,37.4876133
대림슈퍼,생필품,서울특별시 동작구 사당로17길 85,02-533-8834,서울특별시,동작구,126.9719166,37.48651459
홈플러스익스프레스남성점,생필품,서울특별시 동작구 사당로215,02-3481-8541,서울특별시,동작구,126.9723448,37.48445931
남부농협 (남성역점),생필품,서울특별시 동작구 사당로16길 35,02-525-1500,서울특별시,동작구,126.9729187,37.48197852
신세기마트,생필품,서울특별시 동작구 사당로 244,02-588-3843,서울특별시,동작구,126.9753375,37.48288276
하모니마트,생필품,서울특별시 서초구 사임당로 84,02-584-2394,서울특별시,서초구,127.0191224,37.4895608
현대할인마트,생필품,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 ",02-522-0468,서울특별시,서초구,127.0256928,37.49206768
프리마트,생필품,서울특별시 서초구 효령로46길 5,02-522-9876,서울특별시,서초구,127.0090761,37.48333089
이마트에브리데이 서초동점,생필품,서울특별시 서초구 서운로 216,02-534-3651,서울특별시,서초구,127.0218706,37.50237876
코끼리마트,생필품,서울특별시 서초구 강남대로95길 52 ,02-3444-1285,서울특별시,서초구,127.0174705,37.51291017
뉴엘루체마트,생필품,서울특별시 서초구 신반포로 23,02-593-8288,서울특별시,서초구,126.9872318,37.50174714
강남공판장,생필품,서울특별시 서초구 사평대로55길 140,02-517-5976,서울특별시,서초구,127.0202952,37.50999119
롯데슈퍼 신반포점,생필품,서울특별시 서초구 신반포로15길 29,02-595-4617,서울특별시,서초구,126.9946958,37.50547058
뉴코아아울렛 강남점,생필품,서울특별시 서초구 잠원로 51,02-530-5000,서울특별시,서초구,127.0074386,37.50923945
원마트,생필품,서울특별시 서초구 방배로37길 11,02-535-8565,서울특별시,서초구,126.9891428,37.49351249
코끼리마트방배점,생필품,서울특별시 서초구 방배중앙로 30,02-525-8955,서울특별시,서초구,126.9922767,37.4827529
방배 굿모닝마트,생필품,서울특별시 서초구 방배천로16길 18,02-597-8856,서울특별시,서초구,126.9840211,37.48207758
대농마트,생필품,서울특별시 서초구 방배로76(지층),02-587-4145,서울특별시,서초구,126.9982652,37.48116034
롯데슈퍼(방배2점),생필품,서울특별시 서초구 방배로33길29,02-536-0004,서울특별시,서초구,126.9892705,37.49124224
다인마트,생필품,서울특별시 서초구 바우뫼로7길 8 ,02-578-9128,서울특별시,서초구,127.0253807,37.47085458
영동농협,생필품,서울특별시 서초구 동산로6길 3,02-571-8388,서울특별시,서초구,127.0434517,37.47084121
CU편의점,생필품,서울특별시 서초구 염곡말길19,02-575-3118,서울특별시,서초구,127.052251,37.46201728
이마트역삼점,생필품,서울 강남구 역삼로 310 이마트역삼점,02-6908-1234,서울특별시,강남구,127.0485619,37.4991357
GS 슈퍼마켓 강남영동점,생필품,서울특별시 강남구 강남대로128길 20 (논현동),02-548-6071,서울특별시,강남구,127.0238232,37.50999521
롯데마트 월드타워점,생필품,서울특별시 송파구 올림픽로 269,02-2145-8000,서울특별시,송파구,127.1006114,37.51442735
이마트가든파이브점,생필품,서울특별시 송파구 충민로 10 가든파이브툴,02-411-1234,서울특별시,송파구,127.1191067,37.47861732
이마트 천호점,생필품,서울특별시 강동구 천호대로 1017,02-2224-1234,서울특별시,강동구,127.1251462,37.53872905
농협하나로마트 자갈치점,"쌀, 생수, 부탄가스, 부식 등",부산광역시 중구 구덕로 73(남포동),051-250-7704,부산광역시,중구,129.0271554,35.09714032
롯데마트 광복점,"쌀, 생수, 부탄가스, 부식 등",부산광역시 중구 중앙대로2,051-250-2921,부산광역시,중구,129.0366323,35.0979849
세용마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 서구 대영로 78(동대신동),051-242-2826,부산광역시,서구,129.0197017,35.1103293
홈플러스 수퍼 좌천점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 동구 고관로 143(좌천동),051-647-8564,부산광역시,동구,129.0486122,35.13097704
홈플러스 영도점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 영도구 대교로14번길 57,051-419-8120,부산광역시,영도구,129.0442257,35.09590511
㈜대교마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 영도구 태종로 393,051-413-5577,부산광역시,영도구,129.0661348,35.09211682
이마트 서면점,"쌀, 생수, 부탄가스, 부식, 즉석식품 등",부산광역시 부산진구 시민공원로 31(부암동),051-718-1050,부산광역시,부산진구,129.0525509,35.16390445
동래메가마트,"생수, 부탄가스, 분유세트 등",부산광역시 동래구 충렬대로 197(명륜동),051-550-6021,부산광역시,동래구,129.0811367,35.20455084
휴마트 명륜점,"생수, 부탄가스, 분유세트 등",부산광역시 동래구 문화로 7,051-553-5057,부산광역시,동래구,129.0834662,35.21048648
더마트 대연점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 남구 진남로 115-7,051-621-9976,부산광역시,남구,129.0829925,35.13800766
농협하나로마트,"쌀, 부식류, 생필품 등",부산광역시 북구 금곡대로 469(금곡동),051-330-9068,부산광역시,북구,129.0112179,35.25002418
롯데마트 화명점,"쌀, 부식류, 생필품 등",부산광역시 북구 화명대로 47,051-604-2522,부산광역시,북구,129.0130145,35.23516715
메가마트 덕천점,"쌀, 부식류, 생필품 등",부산광역시 북구 기찰로 164(덕천동),051-241-6000,부산광역시,북구,129.0230198,35.21419022
이마트 해운대점,"생수, 부탄가스, 분유세트 등",부산광역시 해운대구 좌동순환로 511,051-608-1054,부산광역시,해운대구,129.1673738,35.16602082
홈플러스 센텀시티점,"생수, 부탄가스, 분유세트 등",부산광역시 해운대구 센텀동로 6(우동),051-709-8121,부산광역시,해운대구,129.1336919,35.17091324
서원유통 신다대점,"쌀, 부식류, 생필품 등",부산광역시 사하구 다송로 58,051-266-8255,부산광역시,사하구,128.9829056,35.06249609
서원유통 감천점,"쌀, 부식류, 생필품 등",부산광역시 사하구 감천로 29,051-202-3555,부산광역시,사하구,128.9961062,35.09189747
서원유통 당리점,"쌀, 부식류, 생필품 등",부산광역시 사하구 낙동대로353,051-291-0035,부산광역시,사하구,128.9784769,35.10081609
서원유통 장림점,"쌀, 부식류, 생필품 등",부산광역시 사하구 다대로300번길 8,051-262-1991,부산광역시,사하구,128.9761516,35.07543262
금정농협하나로마트,"생수, 부탄가스, 분유세트 등",부산광역시 금정구 금강로 717(남산동),051-580-8862,부산광역시,금정구,129.0887695,35.27155259
롯데마트 금정점,"생수, 부탄가스, 분유세트 등",부산광역시 금정구 중앙대로 1731(부곡동),051-580-7700,부산광역시,금정구,129.0915134,35.23926793
대저농협하나로마트,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 강서구 대저로 229(대저동),051-971-1967,부산광역시,강서구,128.9776899,35.21481438
강서할인마트 대저점,"쌀, 생수, 부탄가스, 부식, 살균·표백제 등",부산광역시 강서구 대저로 199,051-831-4987,부산광역시,강서구,128.9747152,35.2150121
이마트 연제점,"쌀, 부식류, 생필품 등",부산광역시 연제구 연수로 89(연산동),051-860-1050,부산광역시,연제구,129.0813141,35.1761555
한양스토아 남천점,"생수, 부탄가스, 부식류 등","부산광역시 수영구 광안해변로 95,비치아파트 A상가",051-624-3131,부산광역시,수영구,129.1139786,35.14321509
㈜농심 부산지사,라면,부산광역시 사상구 사상로455번길 46,051-510-5510,부산광역시,사상구,128.984382,35.18645629
이마트 사상점,"쌀, 부식류, 생필품 등",부산광역시 사상구 광장로 17,051-329-1004,부산광역시,사상구,128.9788887,35.16423654
비세일마트 교리점,"쌀, 생수, 부탄가스, 분유세트 등",부산광역시 기장군 기장읍 차성동로 174,051-722-0207,부산광역시,기장군,129.2172663,35.25318302
탑마트 기장점,"쌀, 생수, 부탄가스, 분유세트 등",부산광역시 기장군 기장읍 대청로71번길 5,051-722-1001,부산광역시,기장군,129.2174652,35.23700184
대백프라자,"쌀, 부식류, 생필품 등",대구광역시 중구 명덕로 333(대봉동),053-420-8708,대구광역시,중구,128.6063616,35.85571704
대구백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 동성로 30,053-420-8708,대구광역시,중구,128.5959441,35.86946217
동아백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 달구벌대로 2085(덕산동),053-251-3391,대구광역시,중구,128.5918416,35.86633351
현대백화점,"쌀, 부식류, 생필품 등",대구광역시 중구 달구벌대로 2077(계산동),053-245-3104,대구광역시,중구,128.5906257,35.8666296
홈플러스 동촌점,"쌀, 부식류, 생필품 등",대구 동구 동촌로 127,053-559-2080,대구광역시,동구,128.655689,35.886074
하나로마트 대구축협 본점,"쌀, 부식류, 생필품 등",대구광역시 동구 동북로 296(신암동),053-957-9901,대구광역시,동구,128.6222928,35.89197301
홈마트 신서점,"쌀, 부식류, 생필품 등",대구광역시 동구 반야월북로55길 2(신서동),053-961-0087,대구광역시,동구,128.7291111,35.87289725
대백마트 불로점,"쌀, 부식류, 생필품 등",대구광역시 동구 팔공로28길 6(불로동),053-981-2555,대구광역시,동구,128.6416364,35.91066866
내고장할인마트,"쌀, 부식류, 생필품 등",대구광역시 동구 아양로37길 14(신암동),053-957-8092,대구광역시,동구,128.6340001,35.88659778
홈플러스 내당점,"쌀, 부식류, 생필품 등",대구광역시 서구 달구벌대로 1821(내당동),053-567-2080,대구광역시,서구,128.5637315,35.86032282
이마트 비산점,"쌀, 부식류, 생필품 등",대구광역시 서구 팔달로 54(비산동),053-714-1050,대구광역시,서구,128.5559625,35.88990466
하나로마트 서대구농협,"쌀, 부식류, 생필품 등",대구광역시 서구 서대구로 92(평리동),053-561-8860,대구광역시,서구,128.5560721,35.86609186
대백마트 봉덕지점,"쌀, 부식류, 생필품 등",대구광역시 남구 대봉로 78(봉덕동),053-652-7788,대구광역시,남구,128.6041964,35.84566541
윌마트 본점,"쌀, 부식류, 생필품 등",대구광역시 남구 대봉로 92(이천동),053-476-2150,대구광역시,남구,128.6045131,35.8468023
하나로마트 대구축협봉덕점,"쌀, 부식류, 생필품 등",대구광역시 남구 봉덕로 105(봉덕동),053-476-9904,대구광역시,남구,128.6020929,35.84481811
홈플러스 대구점,"쌀, 부식류, 생필품 등",대구광역시 북구 중앙대로 543(칠성동),053-350-8121,대구광역시,북구,128.5957656,35.88148155
홈플러스 칠곡점,"쌀, 부식류, 생필품 등",대구광역시 북구 동암로12길 8(동천동),053-607-8124,대구광역시,북구,128.5559672,35.94484991
이마트 칠성점,"쌀, 부식류, 생필품 등","대구광역시 북구 침산로 93(칠성동, 스펙트럼시티)",053-609-1119,대구광역시,북구,128.5897899,35.88522557
롯데마트 칠성점,"쌀, 부식류, 생필품 등",대구광역시 북구 호암로 1(칠성동),053-715-2520,대구광역시,북구,128.5910989,35.88392005
